Country/Region,Date,Name,Event,Format,Hero,Rank,deck_url
New Zealand,04 Dec 2025,Dumpster Dive – Role Call,Dumpster Dive #15,Ultimate Pit Fight,Gravy Bones,,https://fabtcg.com/decklists/new-decklist-24/
United Kingdom,30 Nov 2025,Petter Olsson – Chane – Battle Hardened: Valencia,Battle Hardened: Valencia,Silver Age,Chane,1st,https://fabtcg.com/decklists/petter-olsson-chane-battle-hardened-valencia/
Germany,30 Nov 2025,Enes Findik – Briar – Battle Hardened: Valencia,Battle Hardened: Valencia,Silver Age,Briar,2nd,https://fabtcg.com/decklists/enes-findik-briar-battle-hardened-valencia/
Spain,30 Nov 2025,Pablo Pintor – Chane – Battle Hardened: Valencia,Battle Hardened: Valencia,Silver Age,Chane,3rd,https://fabtcg.com/decklists/pablo-pintor-chane-battle-hardened-valencia/
Netherlands,30 Nov 2025,"Ian Zhang – Ira, Crimson Haze – Battle Hardened: Valencia",Battle Hardened: Valencia,Silver Age,"Ira, Crimson Haze",3rd,https://fabtcg.com/decklists/ian-zhang-ira-crimson-haze-battle-hardened-valencia/
France,30 Nov 2025,"Arthur Trehet – Bravo, Flattering Showman – Battle Hardened: Valencia",Battle Hardened: Valencia,Silver Age,"Bravo, Flattering Showman",5th,https://fabtcg.com/decklists/arthur-trehet-bravo-flattering-showman-battle-hardened-valencia/
Spain,30 Nov 2025,"Mariano Rivero – Bravo, Flattering Showman – Battle Hardened: Valencia",Battle Hardened: Valencia,Silver Age,"Bravo, Flattering Showman",5th,https://fabtcg.com/decklists/mariano-rivero-bravo-flattering-showman-battle-hardened-valencia/
Italy,30 Nov 2025,Antonio Kutter – Oldhim – Battle Hardened: Valencia,Battle Hardened: Valencia,Silver Age,Oldhim,5th,https://fabtcg.com/decklists/antonio-kutter-oldhim-battle-hardened-valencia/
Germany,29 Nov 2025,Kim Scheerer – Briar – Battle Hardened: Valencia,Battle Hardened: Valencia,Silver Age,Briar,5th,https://fabtcg.com/decklists/kim-scheerer-briar-battle-hardened-valencia/
Netherlands,28 Nov 2025,"Paul van Gijssel – Gravy Bones, Shipwrecked Looter – Calling: Valencia",Calling: Valencia,Classic Constructed,"Gravy Bones, Shipwrecked Looter",1st,https://fabtcg.com/decklists/paul-van-gijssel-gravy-bones-shipwrecked-looter-calling-valencia/
Slovenia,28 Nov 2025,Samo Planinc – Dash I/O – Calling: Valencia,Calling: Valencia,Classic Constructed,Dash I/O,2nd,https://fabtcg.com/decklists/samo-planinc-dash-io-calling-valencia/
United Kingdom,28 Nov 2025,"Kiran Lee – Oscilio, Constella Intelligence – Calling: Valencia",Calling: Valencia,Classic Constructed,"Oscilio, Constella Intelligence",3rd,https://fabtcg.com/decklists/kiran-lee-oscilio-constella-intelligence-calling-valencia/
Poland,28 Nov 2025,"kuba tambor – Gravy Bones, Shipwrecked Looter – Calling: Valencia",Calling: Valencia,Classic Constructed,"Gravy Bones, Shipwrecked Looter",3rd,https://fabtcg.com/decklists/kuba-tambor-gravy-bones-shipwrecked-looter-calling-valencia/
Czechia,28 Nov 2025,"Martin Holík – Oscilio, Constella Intelligence – Calling: Valencia",Calling: Valencia,Classic Constructed,"Oscilio, Constella Intelligence",5th,https://fabtcg.com/decklists/martin-holik-oscilio-constella-intelligence-calling-valencia/
United Kingdom,28 Nov 2025,"Jacob Clements – Arakni, Marionette – Calling: Valencia",Calling: Valencia,Classic Constructed,"Arakni, Marionette",5th,https://fabtcg.com/decklists/jacob-clements-arakni-marionette-calling-valencia/
Spain,28 Nov 2025,"Juan Chacon – Gravy Bones, Shipwrecked Looter – Calling: Valencia",Calling: Valencia,Classic Constructed,"Gravy Bones, Shipwrecked Looter",5th,https://fabtcg.com/decklists/juan-chacon-gravy-bones-shipwrecked-looter-calling-valencia/
Poland,28 Nov 2025,"Bartosz Dobrowolski – Arakni, Marionette – Calling: Valencia",Calling: Valencia,Classic Constructed,"Arakni, Marionette",5th,https://fabtcg.com/decklists/bartosz-dobrowolski-arakni-marionette-calling-valencia/
United States of America,27 Nov 2025,Dice Commando – Florian – Primed to Fight,Primed to Fight,Blitz,Florian,,https://fabtcg.com/decklists/dice-commando-florian-primed-to-fight/
United States of America,27 Nov 2025,"Dice Commando – Arakni, Solitary Confinement – Primed to Fight",Primed to Fight,Blitz,"Arakni, Solitary Confinement",,https://fabtcg.com/decklists/dice-commando-arakni-solitary-confinement-primed-to-fight/
United States of America,27 Nov 2025,Dice Commando – Aurora – Primed to Fight,Primed to Fight,Blitz,Aurora,,https://fabtcg.com/decklists/dice-commando-aurora-primed-to-fight/
United States of America,22 Nov 2025,Christopher Iaali – Kassai of the Golden Sand – Battle Hardened: Las Vegas,Battle Hardened: Las Vegas,Classic Constructed,Kassai of the Golden Sand,1st,https://fabtcg.com/decklists/christopher-iaali-kassai-of-the-golden-sand-sat-0900-battle-hardened-cc-scg-con-las-vegas/
United States of America,22 Nov 2025,"Peter Buddensiek – Cindra, Dracai of Retribution – Battle Hardened: Las Vegas",Battle Hardened: Las Vegas,Classic Constructed,"Cindra, Dracai of Retribution",2nd,https://fabtcg.com/decklists/peter-buddensiek-cindra-dracai-of-retribution-sat-0900-battle-hardened-cc-scg-con-las-vegas/
United States of America,22 Nov 2025,"Anthony Pham – Cindra, Dracai of Retribution – Battle Hardened: Las Vegas",Battle Hardened: Las Vegas,Classic Constructed,"Cindra, Dracai of Retribution",3rd,https://fabtcg.com/decklists/anthony-pham-cindra-dracai-of-retribution-battle-hardened-las-vegas/
United States of America,22 Nov 2025,"Brodie Spurlock – Gravy Bones, Shipwrecked Looter – Battle Hardened: Las Vegas",Battle Hardened: Las Vegas,Classic Constructed,"Gravy Bones, Shipwrecked Looter",3rd,https://fabtcg.com/decklists/brodie-spurlock-gravy-bones-shipwrecked-looter-sat-0900-battle-hardened-cc-scg-con-las-vegas/
United States of America,22 Nov 2025,"Griffin Meyers – Gravy Bones, Shipwrecked Looter – Battle Hardened: Las Vegas",Battle Hardened: Las Vegas,Classic Constructed,"Gravy Bones, Shipwrecked Looter",5th,https://fabtcg.com/decklists/griffin-meyers-gravy-bones-shipwrecked-looter-sat-0900-battle-hardened-cc-scg-con-las-vegas/
United States of America,22 Nov 2025,Richard Truong – Dorinthea Ironsong – Battle Hardened: Las Vegas,Battle Hardened: Las Vegas,Classic Constructed,Dorinthea Ironsong,5th,https://fabtcg.com/decklists/richard-truong-dorinthea-ironsong-sat-0900-battle-hardened-cc-scg-con-las-vegas/
United States of America,22 Nov 2025,"Alexander Vore – Oscilio, Constella Intelligence – Battle Hardened: Las Vegas",Battle Hardened: Las Vegas,Classic Constructed,"Oscilio, Constella Intelligence",5th,https://fabtcg.com/decklists/alexander-vore-oscilio-constella-intelligence-sat-0900-battle-hardened-cc-scg-con-las-vegas/
United States of America,22 Nov 2025,Zachary Wallach – Kassai of the Golden Sand – Battle Hardened: Las Vegas,Battle Hardened: Las Vegas,Classic Constructed,Kassai of the Golden Sand,5th,https://fabtcg.com/decklists/zachary-wallach-kassai-of-the-golden-sand-sat-0900-battle-hardened-cc-scg-con-las-vegas-2/
United States of America,16 Nov 2025,"Alexander Vore – Oscilio, Constella Intelligence – Revered – Battle Hardened Philadelphia",Revered - World Tour/Battle Hardened Philadelphia,Classic Constructed,"Oscilio, Constella Intelligence",1st,https://fabtcg.com/decklists/alexander-vore-oscilio-constella-intelligence-revered-world-tourbattle-hardened-philadelphia/
United Kingdom,16 Nov 2025,"Jacob Clements – Arakni, Marionette – Revered – Battle Hardened: Philadelphia",Revered - World Tour/Battle Hardened Philadelphia,Classic Constructed,"Arakni, Marionette",2nd,https://fabtcg.com/decklists/jacob-clements-arakni-marionette-revered-world-tourbattle-hardened-philadelphia/
United States of America,16 Nov 2025,Adam Madrigal – Dorinthea Ironsong – Revered – Battle Hardened: Philadelphia,Revered - World Tour/Battle Hardened Philadelphia,Classic Constructed,Dorinthea Ironsong,3rd,https://fabtcg.com/decklists/adam-madrigal-dorinthea-ironsong-revered-world-tourbattle-hardened-philadelphia/
United States of America,16 Nov 2025,"Thomas Johnson-Averette – Kayo, Underhanded Cheat – Revered – Battle Hardened: Philadelphia",Revered - World Tour/Battle Hardened Philadelphia,Classic Constructed,"Kayo, Underhanded Cheat",3rd,https://fabtcg.com/decklists/thomas-johnson-averette-kayo-underhanded-cheat-revered-world-tourbattle-hardened-philadelphia/
United States of America,16 Nov 2025,"Justin Fryar – Oscilio, Constella Intelligence – Revered – Battle Hardened: Philadelphia",Revered - World Tour/Battle Hardened Philadelphia,Classic Constructed,"Oscilio, Constella Intelligence",5th,https://fabtcg.com/decklists/justin-fryar-oscilio-constella-intelligence-revered-world-tourbattle-hardened-philadelphia/
United States of America,16 Nov 2025,"Kevin Murphy – Prism, Awakener of Sol – Revered – Battle Hardened: Philadelphia",Revered - World Tour/Battle Hardened Philadelphia,Classic Constructed,"Prism, Awakener of Sol",5th,https://fabtcg.com/decklists/kevin-murphy-prism-awakener-of-sol-revered-world-tourbattle-hardened-philadelphia/
United States of America,16 Nov 2025,Randy Davis – Jarl Vetreiði – Revered – Battle Hardened: Philadelphia,Revered - World Tour/Battle Hardened Philadelphia,Classic Constructed,Jarl Vetreiði,5th,https://fabtcg.com/decklists/randy-davis-jarl-vetreii-revered-world-tourbattle-hardened-philadelphia/
United States of America,16 Nov 2025,"Steven Caraher – Cindra, Dracai of Retribution – Revered – Battle Hardened: Philadelphia",Revered - World Tour/Battle Hardened Philadelphia,Classic Constructed,"Cindra, Dracai of Retribution",5th,https://fabtcg.com/decklists/steven-caraher-cindra-dracai-of-retribution-revered-world-tourbattle-hardened-philadelphia/
